GA 10" Labsphere panel
Serial # Serial Number : 99AA03-0319-1952	
Comments : Labsphere cal only - This data is for reference only	


Wavelength	K-factor
1693	0.9880
1694	0.9879
1695	0.9881
1696	0.9881
1697	0.9879
1698	0.9878
1699	0.9877
1700	0.9878
1701	0.9878
1702	0.9879
1703	0.9878
1704	0.9878
1705	0.9877
1706	0.9876
1707	0.9876
1708	0.9876
1709	0.9877
1710	0.9877
1711	0.9876
1712	0.9875
1713	0.9877
1714	0.9878
1715	0.9878
1716	0.9877
1717	0.9875
1718	0.9876
1719	0.9877
1720	0.9876
1721	0.9874
1722	0.9875
1723	0.9875
1724	0.9876
1725	0.9875
1726	0.9874
1727	0.9876
1728	0.9876
1729	0.9876
1730	0.9875
1731	0.9876
1732	0.9875
1733	0.9875
1734	0.9876
1735	0.9876
1736	0.9876
1737	0.9877
1738	0.9877
1739	0.9878
1740	0.9880
1741	0.9879
1742	0.9877
1743	0.9877
1744	0.9876
1745	0.9877
1746	0.9879
1747	0.9880
1748	0.9879
1749	0.9879
1750	0.9879
1751	0.9880
1752	0.9881
1753	0.9880
1754	0.9881
1755	0.9882
1756	0.9884
1757	0.9881
1758	0.9879
1759	0.9879
1760	0.9881
1761	0.9883
1762	0.9881
1763	0.9879
1764	0.9879
1765	0.9880
1766	0.9881
1767	0.9880
1768	0.9881
1769	0.9881
1770	0.9881
1771	0.9882
1772	0.9882
1773	0.9882
1774	0.9881
1775	0.9879
1776	0.9877
1777	0.9878
1778	0.9880
1779	0.9882
1780	0.9883
1781	0.9883
1782	0.9882
1783	0.9882
1784	0.9881
1785	0.9879
1786	0.9879
1787	0.9881
1788	0.9880
1789	0.9879
1790	0.9879
1791	0.9879
1792	0.9879
1793	0.9877
1794	0.9877
1795	0.9876
1796	0.9875
1797	0.9873
1798	0.9873
1799	0.9874
1800	0.9874
1801	0.9875
1802	0.9875
1803	0.9873
1804	0.9870
1805	0.9872
1806	0.9873
1807	0.9871
1808	0.9869
1809	0.9868
1810	0.9865
1811	0.9865
1812	0.9865
1813	0.9864
1814	0.9863
1815	0.9863
1816	0.9862
1817	0.9860
1818	0.9859
1819	0.9859
1820	0.9857
1821	0.9856
1822	0.9855
1823	0.9854
1824	0.9852
1825	0.9851
1826	0.9851
1827	0.9851
1828	0.9851
1829	0.9851
1830	0.9848
1831	0.9846
1832	0.9845
1833	0.9843
1834	0.9842
1835	0.9840
1836	0.9841
1837	0.9842
1838	0.9841
1839	0.9838
1840	0.9836
1841	0.9837
1842	0.9836
1843	0.9835
1844	0.9834
1845	0.9835
1846	0.9834
1847	0.9833
1848	0.9833
1849	0.9832
1850	0.9831
1851	0.9830
1852	0.9830
1853	0.9827
1854	0.9825
1855	0.9825
1856	0.9826
1857	0.9826
1858	0.9825
1859	0.9826
1860	0.9826
1861	0.9824
1862	0.9822
1863	0.9823
1864	0.9823
1865	0.9822
1866	0.9822
1867	0.9822
1868	0.9820
1869	0.9821
1870	0.9822
1871	0.9821
1872	0.9821
1873	0.9819
1874	0.9819
1875	0.9820
1876	0.9820
1877	0.9820
1878	0.9821
1879	0.9820
1880	0.9820
1881	0.9820
1882	0.9820
1883	0.9819
1884	0.9818
1885	0.9819
1886	0.9817
1887	0.9817
1888	0.9817
1889	0.9816
1890	0.9816
1891	0.9816
1892	0.9817
1893	0.9816
1894	0.9815
1895	0.9814
1896	0.9814
1897	0.9813
1898	0.9814
1899	0.9815
1900	0.9815
1901	0.9814
1902	0.9814
1903	0.9812
1904	0.9812
1905	0.9811
1906	0.9812
1907	0.9813
1908	0.9812
1909	0.9812
1910	0.9811
1911	0.9811
1912	0.9813
1913	0.9812
1914	0.9811
1915	0.9812
1916	0.9813
