University of Wollongong	
Serial Number : 10" panel new 2017	
Comments : Lab Cal CSIRO March 2018 	

	
Wavelength K-factor
1281	1.010697328
1282	1.010675537
1283	1.010653629
1284	1.010631623
1285	1.010609538
1286	1.010587393
1287	1.010565208
1288	1.010543001
1289	1.010520792
1290	1.0104986
1291	1.010476444
1292	1.010454344
1293	1.010432317
1294	1.010410385
1295	1.010388565
1296	1.010366877
1297	1.010345341
1298	1.010323975
1299	1.010302798
1300	1.01028183
1301	1.010261086
1302	1.010240564
1303	1.010220261
1304	1.010200171
1305	1.010180288
1306	1.010160609
1307	1.010141127
1308	1.010121839
1309	1.010102739
1310	1.010083822
1311	1.010065083
1312	1.010046517
1313	1.010028119
1314	1.010009885
1315	1.009991809
1316	1.009973886
1317	1.009956111
1318	1.009938479
1319	1.009920986
1320	1.009903627
1321	1.009886395
1322	1.009869287
1323	1.009852298
1324	1.009835422
1325	1.009818654
1326	1.00980199
1327	1.009785425
1328	1.009768953
1329	1.009752569
1330	1.00973627
1331	1.009720049
1332	1.009703901
1333	1.009687822
1334	1.009671807
1335	1.009655851
1336	1.009639948
1337	1.009624095
1338	1.009608285
1339	1.009592514
1340	1.009576776
1341	1.009561068
1342	1.009545384
1343	1.009529718
1344	1.009514067
1345	1.009498424
1346	1.009482786
1347	1.009467146
1348	1.009451501
1349	1.009435844
1350	1.009420172
1351	1.009404484
1352	1.009388796
1353	1.009373131
1354	1.00935751
1355	1.009341956
1356	1.009326489
1357	1.009311132
1358	1.009295907
1359	1.009280834
1360	1.009265937
1361	1.009251236
1362	1.009236754
1363	1.009222512
1364	1.009208532
1365	1.009194836
1366	1.009181445
1367	1.009168381
1368	1.009155667
1369	1.009143323
1370	1.009131371
1371	1.009119834
1372	1.009108733
1373	1.009098089
1374	1.009087925
1375	1.009078263
1376	1.009069123
1377	1.009060528
1378	1.0090525
1379	1.00904506
1380	1.00903823
1381	1.009032031
1382	1.009026487
1383	1.009021617
1384	1.009017445
1385	1.009013991
1386	1.009011278
1387	1.009009328
1388	1.009008161
1389	1.0090078
1390	1.009008267
1391	1.009009583
1392	1.00901177
1393	1.009014851
1394	1.009018845
1395	1.009023776
1396	1.009029666
1397	1.009036535
1398	1.009044405
1399	1.009053299
1400	1.009063239
1401	1.009074234
1402	1.009086257
1403	1.009099266
1404	1.009113222
1405	1.009128085
1406	1.009143814
1407	1.00916037
1408	1.009177711
1409	1.0091958
1410	1.009214594
1411	1.009234055
1412	1.009254141
1413	1.009274814
1414	1.009296033
